#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
2010 2.92 1 1 2 0.601793 0.482073 #_ WinterN
2011 2.92 1 1 2 0.276155 0.684713 #_ WinterN
2012 2.92 1 1 2 0.329648 0.504571 #_ WinterN
2013 2.92 1 1 2 0.448384 1.5642 #_ WinterN
2014 2.92 1 1 2 0.307027 0.737947 #_ WinterN
2002 9.04 2 1 2 0.240701 0.673206 #_ SummerN
2003 9.04 2 1 2 0.234371 0.892729 #_ SummerN
2004 9.04 2 1 2 0.274416 0.405636 #_ SummerN
2005 9.04 2 1 2 0.304606 0.50763 #_ SummerN
2006 9.04 2 1 2 0.266863 0.48805 #_ SummerN
2007 9.04 2 1 2 0.260194 0.821291 #_ SummerN
2008 9.04 2 1 2 0.244109 0.873171 #_ SummerN
2009 9.04 2 1 2 0.216963 0.632824 #_ SummerN
2010 9.04 2 1 2 0.257627 0.699518 #_ SummerN
2011 9.04 2 1 2 0.245881 0.882666 #_ SummerN
2012 9.04 2 1 2 0.311507 1.20417 #_ SummerN
2013 9.04 2 1 2 0.297245 1.48585 #_ SummerN
2002 2.92 3 1 2 0.409893 0.484277 #_ WinterS
2003 2.92 3 1 2 0.178165 0.492047 #_ WinterS
2004 2.92 3 1 2 0.260808 0.493666 #_ WinterS
2005 2.92 3 1 2 0.278659 0.54458 #_ WinterS
2006 2.92 3 1 2 0.283975 0.656571 #_ WinterS
2007 2.92 3 1 2 0.216015 0.527841 #_ WinterS
2008 2.92 3 1 2 0.295578 0.568809 #_ WinterS
2009 2.92 3 1 2 0.554203 0.236176 #_ WinterS
2010 2.92 3 1 2 0.416889 0.949054 #_ WinterS
2011 2.92 3 1 2 0.309999 0.217971 #_ WinterS
2012 2.92 3 1 2 0.201939 1.16577 #_ WinterS
2013 2.92 3 1 2 0.275451 1.02778 #_ WinterS
2014 2.92 3 1 2 0.419008 0.181258 #_ WinterS
2002 9.04 4 1 2 0.189749 1.16971 #_ SummerS
2003 9.04 4 1 2 0.175114 0.431599 #_ SummerS
2004 9.04 4 1 2 0.183491 0.920921 #_ SummerS
2005 9.04 4 1 2 0.251375 0.394591 #_ SummerS
2006 9.04 4 1 2 0.318591 0.552376 #_ SummerS
2007 9.04 4 1 2 0.368988 0.628691 #_ SummerS
2008 9.04 4 1 2 0.219401 0.530487 #_ SummerS
2009 9.04 4 1 2 0.212725 1.21289 #_ SummerS
2010 9.04 4 1 2 0.183744 0.661278 #_ SummerS
2011 9.04 4 1 2 0.245775 0.827193 #_ SummerS
2012 9.04 4 1 2 0.227152 0.605357 #_ SummerS
2013 9.04 4 1 2 0.234393 0.612221 #_ SummerS
 -9999 0 0 0 0 0 0 # terminator for mean body size data 
#
# set up population length bin structure (note - irrelevant if not using size data and using empirical wtatage
2 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
2 # binwidth for population size comp 
4 # minimum size in the population (lower edge of first bin and size at age 0.00) 
78 # maximum size in the population (lower edge of last bin) 
1 # use length composition data (0/1)
#_mintailcomp: upper and lower distribution for females and males separately are accumulated until exceeding this level.
#_addtocomp:  after accumulation of tails; this value added to all bins
#_males and females treated as combined gender below this bin number 
#_compressbins: accumulate upper tail by this number of bins; acts simultaneous with mintailcomp; set=0 for no forced accumulation
#_Comp_Error:  0=multinomial, 1=dirichlet
#_Comp_Error2:  parm number  for dirichlet
#_minsamplesize: minimum sample size; set to 1 to match 3.24, minimum value is 0.001
#_mintailcomp addtocomp combM+F CompressBins CompError ParmSelect minsamplesize
-1 0.001 0 0 0 0 1 #_fleet:1_WinterN
-1 0.001 0 0 0 0 1 #_fleet:2_SummerN
-1 0.001 0 0 0 0 1 #_fleet:3_WinterS
-1 0.001 0 0 0 0 1 #_fleet:4_SummerS
-1 0.001 0 0 0 0 1 #_fleet:5_TriEarly
-1 0.001 0 0 0 0 1 #_fleet:6_TriLate
-1 0.001 0 0 0 0 1 #_fleet:7_NWFSC
# sex codes:  0=combined; 1=use female only; 2=use male only; 3=use both as joint sexxlength distribution
# partition codes:  (0=combined; 1=discard; 2=retained
26 #_N_LengthBins; then enter lower edge of each length bin
 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62
#_yr month fleet sex part Nsamp datavector(female-male)
 1955 2.92 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 133.114 532.455 798.683 931.797 965.075 831.961 698.848 299.506 332.785 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 66.5569 698.848 1863.59 3194.73 3660.63 1364.42 366.063 66.5569 0 0 0 0 0 0 0
 1956 2.92 1 3 2 1 0 0 0 0 0 0 0 0 0 0 0 171.636 400.483 286.059 686.542 1087.03 2116.84 2860.59 3489.92 3032.23 1945.2 572.118 171.636 171.636 57.2118 0 0 0 0 0 0 0 0 0 0 0 114.424 343.271 1373.08 2288.47 3775.98 7037.06 5034.64 1659.14 915.39 57.2118 0 0 0 0 0 0
 1957 2.92 1 3 2 10 0 0 0 0 0 0 0 0 0 0 0 0 6.00947 71.3956 204.229 607.504 1066.17 2372.61 4146.45 4136.13 4478.69 3146.64 1217.84 875.082 223.237 63.3955 0 0 0 0 0 0 0 0 78.9436 0 1.58988 75.576 964.01 2307.19 7496.03 9624.88 7783.94 2482.13 663.098 132.25 70.5712 0 39.4718 0 0 0
 1958 2.92 1 3 2 1 0 0 0 0 0 0 0 0 0 0 54.9887 54.9887 549.887 384.921 659.865 549.887 219.955 164.966 164.966 329.932 109.977 164.966 54.9887 54.9887 0 0 0 0 0 0 0 0 0 0 0 0 54.9887 714.853 989.797 1869.62 824.831 1264.74 1924.6 1484.7 54.9887 0 0 0 0 0 0 0
 1959 2.92 1 3 2 2 0 0 0 0 0 0 0 0 32.6104 163.052 231.128 361.569 562.942 1391.27 1470.77 1582.88 1553.12 713.37 906.177 947.353 1101.84 992.588 521.766 100.686 35.4656 0 0 0 0 0 0 0 0 0 32.6104 163.052 293.493 1070.88 3872.66 6429.04 3955.02 1699.49 422.732 70.9312 68.076 35.4656 0 0 0 0 0 0
 1964 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 0 0 0 30.6648 807.021 1453.3 2705.16 2861.06 3823.53 1959.26 1586.37 697.928 49.8212 204.145 242.58 0 0 0 0 0 0 0 0 0 0 0 0 202.233 1753.18 5939.9 9027.92 4487.36 1605.51 721.737 0 0 0 0 0 0 0 0 0
 1965 2.92 1 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 147.384 1714.5 2466.24 4164.38 4251.22 4513.54 2900.99 1558.16 868.225 349.447 147.384 0 0 0 0 0 0 0 0 0 0 0 0 0 294.769 3075.21 4139.63 7275.38 2262.92 1434.55 147.384 0 154.795 0 0 0 0 0 0
 1966 2.92 1 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 66.5569 299.506 808.314 532.455 432.62 584.996 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.2785 375.694 618.274 1964.29 1512.41 2316.34 618.274 33.2785 33.2785 0 0 0 0 0 0 0 0
 1967 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 33.2785 99.8354 66.5569 166.392 532.455 998.354 831.961 632.291 499.177 266.228 133.114 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 33.2785 232.949 232.949 532.455 465.898 432.62 199.671 133.114 0 0 0 0 0 0 0 0 0 0
 1968 2.92 1 3 2 15 0 0 0 0 0 0 0 0 0 33.2785 266.228 866.761 1382.19 1644.53 3131.25 5044.43 6811.19 4067.92 6572.23 4344.65 3977.72 1155.1 249.318 463.953 25.6575 0 0 0 0 0 0 0 0 0 0 232.949 599.012 1514.79 2546.71 3952.93 4336.21 2146.14 769.413 377.969 0 0 0 0 0 0 0 0
 1969 2.92 1 3 2 14 0 0 0 0 0 0 0 0 0 432.62 1331.14 1098.19 665.569 827.213 1577.7 2831.56 5884.98 5387.27 3368.49 2631.23 984.034 461.548 267.55 38.2477 0 0 0 0 0 0 0 0 0 66.5569 33.2785 133.114 565.734 2133.76 4305.67 6482.28 4290.83 1962.03 410.444 173.498 31.4403 0 0 0 0 0 0 0
 1970 2.92 1 3 2 11 0 0 0 0 0 0 0 0 33.2785 399.341 865.24 998.354 965.075 1198.02 1779.13 2646.95 3873.13 3578.74 2680.22 2147.77 1333.72 519.667 486.389 99.8354 33.2785 0 0 0 0 0 0 0 0 0 166.392 332.785 1185.24 2414 2879.9 2147.77 2175.93 1953.22 424.955 176.638 0 0 0 0 0 0 0 0
 1971 2.92 1 3 2 12 0 0 0 0 0 0 0 0 33.2785 33.2785 166.392 133.114 282.752 760.894 1000.86 1894.79 3165.68 3959.32 2509.16 2649.34 1381.57 1030.12 785.202 255.107 0 118.686 0 0 0 0 0 0 0 0 99.8354 185.686 876.432 5044.08 10411.1 12454.3 12302.3 8216.75 4619.13 1340.8 542.648 92.2473 0 0 0 0 0 0
 1972 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 2.36754 41.8876 64.3247 250.014 1213.42 3617.41 6337.47 5306.03 2793.01 3791.41 2576.6 2319.95 1852.42 667.363 491.43 265.165 0 0 0 0 0 0 0 0 0 6.48349 20.6887 424.41 4537.62 13712.3 14652.8 6358 1273.97 990.767 332.417 0 0 0 0 0 0 0 0
 1973 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 0 0 99.4624 165.771 661.55 3478.28 6818.51 8397.66 5934.48 3714.38 3275.29 1208.58 1010.63 890.063 659.36 428.658 142.886 0 0 0 0 0 0 0 0 0 165.614 275.502 2282.33 11374 18956.9 4844.08 914.981 309.141 66.3082 0 0 0 0 0 0 0 0
 1974 2.92 1 3 2 5 0 0 0 0 0 0 0 0 0 0 23.5456 47.0912 297.313 571.081 2122.17 3747.7 3920.46 3071.97 1341.6 916.657 640.259 201.735 295.425 129.62 106.075 0 0 0 0 0 0 0 0 0 0 0 297.552 1823.54 9023.7 20768 21819.5 7483.01 1590.78 816.935 340.289 0 0 0 0 0 0 0
 1975 2.92 1 3 2 12 0 0 0 0 0 0 0 0 0 0 0 31.1484 168.935 447.034 1932.68 4722.5 7077.93 7391.99 4307.38 2408.67 1410.81 904.974 544.672 156.777 166.534 14.3387 0 0 0 0 0 0 10.6495 0 0 0 158.184 1342.34 5766.48 12221 11403.3 6114.4 1658.41 324.433 104.225 65.7799 14.3387 0 0 0 0 0
 1976 2.92 1 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 197.366 799.66 2320.59 4976.82 5481.12 3624.84 2846.07 839.445 645.252 394.733 214.291 59.8829 0 0 0 0 0 0 0 0 0 0 0 0 1139.65 7284.31 15780.3 10430.7 6685.73 1043.83 393.146 0 0 0 0 0 0 0 0
 1977 2.92 1 3 2 2 0 0 0 0 0 0 0 0 0 0 0 242.58 1169.4 485.16 2519.46 5661.25 8137.21 10327.1 5418.67 3384.36 1636.14 597.241 1393.56 398.16 199.08 398.16 0 0 0 0 0 0 0 0 0 0 0 1567.56 3688.86 5698.09 7545.07 5647.92 1455.48 485.16 242.58 0 0 0 0 0 0 0
 1978 2.92 1 3 2 4 0 0 0 0 0 0 0 0 173.213 866.065 1385.7 519.639 1905.34 1116.35 2102.35 4105 10043.6 11134.6 8892.95 8185.22 4249.06 3796.85 2263.47 346.454 559.444 266.928 0 0 0 0 0 0 0 173.213 0 354.989 363.552 988.565 3709.61 6912.43 5725.06 1706.78 1334.64 400.391 346.454 0 0 0 0 0 0 0
 1979 2.92 1 3 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 242.58 1212.9 1455.48 1455.48 2425.8 1212.9 2425.8 1212.9 242.58 242.58 0 485.16 242.58 0 0 0 0 0 0 0 0 0 0 242.58 1698.06 7519.99 8005.15 8005.15 8247.73 4851.6 1455.48 0 0 242.58 0 0 0 0 0
 1980 2.92 1 3 2 9 0 0 0 0 0 0 0 0 9.15587 36.6235 816.965 2781.9 3423.38 6392.93 8528.43 12239.9 8485.86 8427.44 5288.47 5575.27 6787.92 3099.65 2909.31 482.31 253.809 300.958 0 0 0 0 0 0 0 242.58 0 458.7 3830.75 11659.1 14600.8 12933.8 9554.35 4706.43 2160.97 494.316 517.173 251.736 0 0 0 0 0 0
 1981 2.92 1 3 2 10 0 0 0 0 0 0 0 0 62.6472 2308.52 2983.11 4262.47 4081.53 7984.8 6117.12 5799.23 5257.71 8057.66 7367.45 5131.31 5818.25 6541.11 5513.41 2678.51 1790.68 269.005 0 0 0 0 0 0 0 0 13.3809 2570.59 8459.78 10386.3 8130.58 6431.55 5783.87 2975.38 1817.82 539.858 754.166 0 0 316.9 222.958 74.3195 0 0
 1982 2.92 1 3 2 5 0 0 0 0 0 0 0 0 242.58 0 485.16 2910.96 2910.96 5175.15 4609.02 6550.31 5256.44 4772.25 3397.09 4609.67 4205.8 3721.28 2831.29 2426.77 323.548 323.548 0 0 0 0 0 0 0 0 727.741 1455.48 4851.6 8732.89 7600.95 10512.6 6711.6 2910.96 3638.7 1293.87 1940.64 0 0 0 0 0 0 0
 1983 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 0 727.741 242.58 3939 2910.96 3603.99 5879.64 3453.84 4354.72 2448.8 4146.86 5209.61 4689.74 6029.79 2633.66 1848.21 0 0 0 0 0 0 0 0 0 242.58 2425.8 5244.33 6630.38 5590.62 3927.28 4146.86 3927.28 3361.41 1212.9 1120.47 693.023 0 0 0 0 0 0
 1984 2.92 1 3 2 3 0 0 0 0 0 0 0 0 242.58 485.16 485.16 1698.06 2668.38 6549.67 8975.47 9218.05 8005.15 6792.25 4123.86 2910.96 2425.8 1455.48 2183.22 242.58 727.741 0 0 0 0 0 0 0 0 0 970.321 4366.44 7277.41 10430.9 9218.05 6307.08 485.16 970.321 242.58 242.58 242.58 0 0 0 0 0 0 0
 1986 2.92 1 3 2 3 0 0 0 0 0 0 0 0 0 144.015 236.58 473.159 1244.69 2579.26 5014.51 7186.74 5851.16 4315.11 3601.04 812.641 1258.35 242.58 0 242.58 0 0 0 0 0 0 0 0 0 0 0 853.754 2273.23 4963.06 7405.2 7503.77 4675.92 962.657 524.61 144.015 0 0 0 0 0 0 0 0
 1987 2.92 1 3 2 7 0 0 0 0 0 0 0 0 0 0 219.89 219.89 1342.03 3259.98 5177.93 6106.32 11685.5 8914.16 9454.78 7022.22 2832.07 1415.2 1212.9 88.9767 177.953 0 0 0 0 0 0 0 0 0 0 462.47 1432.79 6197.08 12108 13633.2 7085.18 3994.61 1148.27 88.9767 0 0 0 0 0 0 0 0
 1988 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 1212.9 3153.54 7762.57 5336.76 2910.96 4609.02 2425.8 485.16 242.58 0 0 242.58 242.58 0 0 0 0 0 0 0 0 242.58 0 2668.38 2910.96 4366.44 6307.08 2183.22 485.16 485.16 0 0 0 0 0 0 0 0 0
 1989 2.92 1 3 2 10 0 0 0 0 0 0 0 242.58 485.16 3396.12 6549.67 6064.5 7003.15 7488.31 8606.18 9787.4 8785.41 3575.35 4598.19 4598.19 632.71 664.387 453.484 0 0 0 0 0 0 0 0 0 0 485.16 2183.22 8247.73 9608.18 11127 6032.83 6486.31 970.321 1423.8 242.58 0 0 0 0 0 0 0 0 0
 1990 2.92 1 3 2 4 0 0 0 0 0 0 0 0 0 242.58 242.58 1455.48 4064.33 3519.63 3336.59 3549.4 2881.19 1910.87 455.393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 970.321 2668.38 6004.97 6856.22 2489.78 2643.05 1489.69 1064.06 212.813 0 727.741 485.16 0 0 0 0 0 0
 1991 2.92 1 3 2 11 0 0 0 0 0 0 0 0 0 2910.96 6792.25 5336.76 6792.25 12371.6 9945.79 7277.41 7277.41 3153.54 1455.48 242.58 485.16 242.58 0 0 242.58 0 0 0 0 0 0 0 242.58 0 970.321 3881.28 12129 13099.3 5579.34 1698.06 727.741 485.16 0 0 0 0 0 0 0 0 0 0
 1992 2.92 1 3 2 4 0 0 0 0 0 0 0 242.58 1212.9 1212.9 727.741 1033.36 1455.48 2578.61 2425.8 1365.71 1212.9 1212.9 970.321 0 0 0 0 0 0 0 0 0 0 0 0 0 242.58 152.809 3100.08 4996.83 4637.74 1491.79 2066.72 2578.61 970.321 242.58 0 0 0 0 0 0 0 0 0 0
 1993 2.92 1 3 2 7 0 0 0 0 0 0 0 0 0 242.58 0 485.16 1940.64 2668.38 3881.28 5336.76 4366.44 2668.38 1940.64 485.16 0 0 0 0 242.58 0 0 0 0 0 0 0 0 0 727.741 2668.38 5579.34 7277.41 7277.41 4123.86 970.321 0 0 0 0 0 0 0 0 0 0 0
 1994 2.92 1 3 2 9 0 0 0 0 0 242.58 0 0 1698.06 3832.89 3808.7 4051.28 6477.08 4973.21 4949.01 6501.27 4803.21 2644.19 2401.61 970.321 0 0 0 0 0 0 0 0 0 0 0 242.58 0 1940.64 6307.08 7665.78 6258.69 5312.57 4123.86 1698.06 485.16 242.58 0 0 0 0 0 0 0 0 0 0
 1995 2.92 1 3 2 8 0 0 0 0 0 0 0 0 0 242.58 970.321 2910.96 5094.18 6792.25 5821.92 5579.34 4366.44 1698.06 485.16 727.741 242.58 0 0 0 0 0 0 0 0 0 0 0 0 485.16 4366.44 8975.47 8005.15 8490.31 6064.5 1455.48 0 0 0 242.58 0 0 0 0 0 0 0 0
 1996 2.92 1 3 2 3 0 0 0 0 0 0 0 0 0 0 242.58 412.74 1553.22 1625.64 3178.86 1480.8 1553.22 242.58 170.16 242.58 0 170.16 0 0 0 0 0 0 0 0 0 0 0 0 0 655.32 2451.12 3834.18 2671.92 655.32 825.48 242.58 0 0 0 0 0 0 0 0 0 0
 1997 2.92 1 3 2 5 0 0 0 0 0 0 0 0 1418 2873.49 4421.64 2518.48 2555.95 2200.94 4906.8 4291.49 2388.33 485.16 0 652.788 0 0 0 0 0 0 0 0 0 0 0 0 0 727.741 1175.42 4216.54 5989.55 4571.55 1660.59 485.16 0 0 0 242.58 0 0 0 0 0 0 0 0
 1998 2.92 1 3 2 5 0 0 0 0 0 242.58 0 242.58 0 727.741 242.58 242.58 0 970.321 3638.7 3153.54 3881.28 2183.22 1698.06 242.58 727.741 727.741 0 0 0 0 0 0 0 0 0 0 0 0 2668.38 6064.5 2183.22 3153.54 4851.6 2183.22 485.16 0 0 0 0 0 0 0 0 0 0 0
 1999 2.92 1 3 2 9 0 0 0 0 0 0 0 0 0 242.58 974.366 1541.74 2183.22 2183.22 4859.69 6232.97 5825.97 3729 2105.06 1212.9 242.58 242.58 0 0 0 0 0 0 0 0 0 0 0 0 485.16 2183.22 5908.18 10525.3 11890.5 5583.39 2910.96 970.321 0 0 0 0 0 0 0 0 0 0
 2000 2.92 1 3 2 14 0 0 0 0 0 0 0 0 242.58 907.771 1919.62 2899.18 3142.01 6338.74 6958.74 9987.67 7308.41 5875.83 3398.93 2384.49 877.272 0 0 0 0 0 0 0 0 0 0 0 0 260.494 1994.38 2886.58 10124.2 12987.3 13518.4 6215.57 1762.33 229.478 0 0 0 0 0 0 0 0 0 0
 2001 2.92 1 3 2 18 0 0 0 0 0 0 0 0 0 485.16 1212.9 3396.12 4366.44 6184.55 13626.7 12551.6 8608.03 3780.52 3971.09 576.175 362.341 0 0 111.883 0 0 0 0 0 0 0 0 0 0 1212.9 4123.86 10430.9 16038.7 21445.3 13943.6 3968.15 527.423 0 0 0 0 0 0 0 0 0 0
 2002 2.92 1 3 2 9 0 0 0 0 0 0 0 0 0 280.647 2105.71 2619.69 2737.51 4626.42 6290.14 5808.02 5059.84 1455.48 1355.06 460.816 0 0 0 0 0 0 0 0 0 0 0 0 0 242.58 242.58 4324.47 8838.23 13863.2 14088.4 10996.5 5402.85 727.741 0 0 0 0 0 0 0 0 0 0
 2003 2.92 1 3 2 20 0 0 0 0 0 0 0 0 0 954.301 1326.34 4212.13 5659.45 7689.62 9339.62 7719.31 8757.65 7289.79 1929.43 970.321 485.16 250.444 0 0 242.58 242.58 0 0 0 0 0 0 0 485.16 0 1737.67 5266.58 13239.6 18800.4 12801.1 7281.92 1698.06 727.741 0 0 0 0 0 0 0 0 0
 2004 2.92 1 3 2 27 0 0 0 0 0 0 0 0 13.3924 133.924 93.747 1023.89 1888.29 3800.19 9877.17 10866.1 9914.03 6777.47 9987.03 6696.53 3077.73 694.308 642.49 0 0 0 0 0 0 0 0 0 0 0 485.16 1195.04 6878.57 20503 39481.6 34532.8 9232.85 3421.11 0 314.659 0 157.329 157.329 0 0 0 0 0
 2005 2.92 1 3 2 25 0 0 0 0 0 0 0 0 27.4335 270.014 1249.48 2498.96 3945.29 7656.21 14527 19070.7 19528.5 9954.23 5155.47 4689.58 2532.35 199.483 541.877 242.58 0 0 0 0 0 0 0 0 242.58 0 9.14448 1958.93 6700.75 18298.8 22234.4 15912.3 5074.44 851.39 242.58 0 0 0 0 0 0 0 0 0
 2006 2.92 1 3 2 16 0 0 0 0 0 0 0 0 5.79917 44.4426 822.213 1376.75 3220.92 8297.09 9085.62 11457 9843.82 7600.44 4246.53 1289.02 419.451 176.871 0 0 0 0 0 0 0 0 0 0 0 0 496.759 2437.4 10802.2 19621.1 23019.9 10792.8 2592.61 738.871 242.58 176.871 242.58 0 0 0 0 0 0 0
 2007 2.92 1 3 2 37 0 0 0 0 0 0 0 0 9.14377 220.185 2202.44 3450.44 10703.1 21572.9 26858 25294.5 19545 11606 5318.15 2704.33 1698.06 522.261 260.451 242.58 242.58 0 0 0 0 0 242.58 0 242.58 0 1063.23 6770.58 26459.4 39455.9 32068.1 18520.6 5364.93 1221.84 242.58 0 0 0 0 0 0 0 0 0
 2008 2.92 1 3 2 61 0 0 0 0 0 0 0 0 0 36.5853 1258.34 9941.89 20134.6 35063.6 41750.6 36704.3 29141.8 17600.7 10095.5 3866.92 2549.2 1212.9 0 242.58 0 0 0 0 0 0 0 0 0 242.58 3153.54 13497.4 39224.8 58818.9 48833.8 27485.7 10777.4 2137.07 970.321 43.5445 242.58 0 0 0 0 0 0 0
 2009 2.92 1 3 2 43 0 0 0 0 17.6978 0 0 17.6978 265.467 963 1226.36 5406.89 16244.4 23570 29066.1 21620.3 21223.5 21580 7148.66 4301.17 1536.49 1520.24 855.142 0 0 0 0 0 0 0 0 0 0 242.58 1023.41 7705.11 24158.6 36545.4 32127.7 19727.9 7325.65 1236.7 458.259 485.16 0 0 0 0 0 0 0 0
 2010 2.92 1 3 2 38 0 0 0 0 0 0 31.0886 0 36.8444 1646.96 3103.96 5759.4 9256.41 15043.8 22020.5 22950.7 19307.8 10623 7266.12 3955.63 2807.04 311.872 315.002 242.58 68.0273 0 0 0 0 0 0 0 0 0 669.383 2962.83 12559.9 20965.2 16434.3 9706.44 5050.02 1905.49 83.5215 0 0 0 0 0 0 0 0 0
 2011 2.92 1 3 2 33 0 0 0 0 0 0 0 0 0 216.233 339.678 5119.05 4861.39 6981.53 8559.36 8009 8462.77 4533.93 4672.29 1911.32 756.896 158.371 0 0 0 0 0 0 0 0 0 0 7.4466 0 0 4579.7 24190.7 33445.3 22992.6 13587.2 3442.89 440.943 472.146 86.6078 242.58 0 0 0 0 0 0 0
 2012 2.92 1 3 2 35 0 0 0 0 0 0 0 0 0 349.284 840.239 3365.92 8078.9 10060.4 15875.8 13817.3 11814 5206.82 3050.07 2396.4 1626.06 727.741 95.7432 0 0 0 0 0 0 0 0 0 0 242.58 2317.3 12094.8 29908.2 40865.3 32244.1 12737.2 2442.75 824.852 242.58 8.19104 0 49.4562 0 0 0 0 0 0
 2013 2.92 1 3 2 44 0 0 0 0 0 0 0 0 242.58 340.294 2082.67 7201.95 9800.99 12538.5 15083.1 17362.8 10874.9 6593.63 3444.57 1121.73 825.752 727.741 0 0 0 0 0 0 0 0 0 242.58 0 242.58 2923.94 17752 40511.3 50997.3 45359.9 35437.8 12598.5 2277.43 850.102 37.1322 0 0 0 0 0 0 0 0
 2014 2.92 1 3 2 50 0 0 0 0 0 0 0 0 0 122.811 2576.46 7450.08 12848.5 16634.5 25428.6 29922.9 23848.3 16938.9 8417.47 3884.01 2440.33 137.188 354.185 0 0 0 0 0 0 0 0 0 0 0 3881.28 20319.2 39817 46034 36255.4 34915.6 20370.8 5933.53 693.056 970.321 242.58 0 0 0 0 0 0 0
 1955 9.04 2 3 2 3 0 0 0 0 0 0 0 0 0 0 0 88.7738 88.7738 1010.27 3055.51 6746.17 14150.6 16385 13409.3 11304 7835.18 3615.14 1239.16 490.218 173.216 0 0 0 0 0 0 0 0 0 0 88.7738 223.896 3303.84 5488.86 5514.44 8271.02 5752.74 2755.76 1204.66 625.34 0 0 0 0 0 0 0
 1956 9.04 2 3 2 8 0 0 0 0 0 0 0 0 0 0 0 1067.6 1405.34 2051.52 3191.34 6334.03 7746.63 11071.2 11753.6 6764.52 3291.95 2173.88 1460.93 741.34 186.697 13.8965 0 0 0 0 0 0 0 0 0 608.12 3049.04 6195.05 13328.4 11333.1 16967.1 9303.62 5274.57 3130.9 242.283 234.429 0 0 0 0 0 0
 1957 9.04 2 3 2 11 0 0 0 0 0 0 0 0 0 175.231 1374.13 3433.52 4571.57 5619.79 3909.41 7782.78 8941.38 10255.4 8661.63 7881.97 6816.42 5446.63 2387.9 896.978 337.606 208.244 0 0 0 0 0 0 0 0 0 900.709 2999.71 6300.55 8403.22 6279.48 4868.17 4975.63 4822.1 2757.47 830.094 18.2472 55.0725 19.594 82.4049 0 0 0
 1958 9.04 2 3 2 3 0 0 0 0 0 0 0 0 0 436.39 925.574 3552.13 6435.57 9987.52 13143.2 11356.2 10850.6 7189.08 5313.37 4299.37 3737.44 2887.1 1328.64 329.317 73.7476 0 0 0 0 0 0 0 0 0 0 250.778 1208.19 9198.92 21456.5 24971.1 22631 11505 9328.25 4715.11 1170.08 354.06 177.03 0 0 0 0 0
 1960 9.04 2 3 2 2 0 0 0 0 0 0 0 0 0 626.089 1584.24 2337.98 2322.1 1873.29 1600.57 1240.65 606.372 2039.97 1854.86 1593.99 313.044 16.6392 0 0 0 0 0 0 0 0 0 0 0 0 626.089 2086.96 5786.69 8856.04 9038.31 12992.7 16287 32211.7 21945.2 9995.03 2234.46 0 104.348 16.6392 0 0 0 0
